DATASET,LEARNING_RATE,ALGORITHM,HIDDEN_NEURON,TRANSFER_FUNC,AUROC,MSE,CONFUSION_MATRIX
smote,0.1,RMSProp,10,tanh,0.95199776198,0.0350849791299,"[[96,8% 3,2%]
[29,7% 70,3%]]"
kmeans,0.4,Adam,10,tanh,0.946332773828,0.0566504425258,"[[94,6% 5,4%]
[26,6% 73,4%]]"
random_oversampling,0.01,RMSProp,10,tanh,0.946155871511,0.0385031264964,"[[95,8% 4,2%]
[23,4% 76,6%]]"
random_oversampling,0.8,SGD_Nesterov_momentum,10,tanh,0.945802066877,0.043112109685,"[[95,2% 4,8%]
[26,6% 73,4%]]"
adapted_smote,0.8,SGD_Nesterov_momentum,10,tanh,0.945374210111,0.0512841750894,"[[93,5% 6,5%]
[21,9% 78,1%]]"
adapted_smote,0.01,RMSProp,10,sigmoid,0.944362164297,0.0404068034353,"[[95,1% 4,9%]
[21,9% 78,1%]]"
adapted_smote,0.01,Adam,10,sigmoid,0.943728607162,0.0483400423374,"[[94,9% 5,1%]
[21,9% 78,1%]]"
adapted_smote,0.01,Adam,50,tanh,0.943012769879,0.0477038912926,"[[94,8% 5,2%]
[18,8% 81,3%]]"
adapted_smote,0.1,RMSProp,10,tanh,0.942946945761,0.0288275693859,"[[97,5% 2,5%]
[26,6% 73,4%]]"
random_oversampling,0.01,Adam,10,sigmoid,0.942099460242,0.0451582823023,"[[95,5% 4,5%]
[25,0% 75,0%]]"
adapted_smote,0.01,Adam,50,sigmoid,0.941984268036,0.041170459247,"[[95,5% 4,5%]
[18,8% 81,3%]]"
adapted_smote,0.8,SGD_Nesterov_momentum,3,tanh,0.941844391785,0.0518737274357,"[[94,6% 5,4%]
[21,9% 78,1%]]"
smote,0.01,Adam,10,sigmoid,0.941762111638,0.0389099394726,"[[95,7% 4,3%]
[21,9% 78,1%]]"
random_oversampling,0.4,SGD_Nesterov_momentum,10,tanh,0.94119437862,0.0472445933997,"[[95,0% 5,0%]
[23,4% 76,6%]]"
adapted_smote,0.4,SGD_Nesterov_momentum,3,tanh,0.940857030016,0.050425284336,"[[94,3% 5,7%]
[21,9% 78,1%]]"
adapted_smote,0.01,Adam,3,tanh,0.940848802001,0.051572975932,"[[92,3% 7,7%]
[23,4% 76,6%]]"
adapted_smote,0.01,Adam,10,tanh,0.940807661927,0.043028803324,"[[95,3% 4,7%]
[21,9% 78,1%]]"
random_oversampling,0.1,RMSProp,10,sigmoid,0.940799433913,0.0346722052073,"[[96,4% 3,6%]
[25,0% 75,0%]]"
adapted_smote,0.8,SGD_Nesterov_momentum,50,tanh,0.940733609795,0.0474968623076,"[[94,7% 5,3%]
[23,4% 76,6%]]"
